date,time,batteryVoltage,batteryCurrent,panelVoltage,panelPower
25/3/2015,10:46:10 AM,26040,2000,51120,51
25/3/2015,10:46:11 AM,26040,1700,51190,49
25/3/2015,10:46:11 AM,26040,1800,45900,50
25/3/2015,10:46:12 AM,26040,1800,51420,49
25/3/2015,10:46:12 AM,26040,1800,49940,49
25/3/2015,10:46:13 AM,26060,1700,48990,49
25/3/2015,10:46:13 AM,26090,1900,48880,50
25/3/2015,10:46:14 AM,26090,1800,49090,50
25/3/2015,10:46:14 AM,26060,1700,51910,48
25/3/2015,10:46:15 AM,26080,1700,46170,49
25/3/2015,10:46:15 AM,26090,1900,50870,49
25/3/2015,10:46:16 AM,26090,1800,51040,49
25/3/2015,10:46:16 AM,26110,1800,46660,51
25/3/2015,10:46:17 AM,26100,1800,51880,49
25/3/2015,10:46:17 AM,26110,1700,48750,50
25/3/2015,10:46:18 AM,26110,1700,48760,50
25/3/2015,10:46:18 AM,26110,1800,48350,50
25/3/2015,10:46:19 AM,26110,1900,49290,50
25/3/2015,10:46:19 AM,26110,1700,51580,49
25/3/2015,10:46:20 AM,26110,1600,50290,47
25/3/2015,10:46:20 AM,26090,1500,48720,44
25/3/2015,10:46:20 AM,26040,1400,47130,40
25/3/2015,10:46:21 AM,26030,1200,46050,37
25/3/2015,10:46:21 AM,25980,1100,44220,32
25/3/2015,10:46:22 AM,25930,900,42320,27
25/3/2015,10:46:22 AM,25910,700,39460,22
25/3/2015,10:46:23 AM,25880,700,41420,20
25/3/2015,10:46:23 AM,25850,600,36170,17
25/3/2015,10:46:24 AM,25850,500,36570,16
25/3/2015,10:46:24 AM,25830,500,37360,15
25/3/2015,10:46:25 AM,25800,500,39850,15
25/3/2015,10:46:25 AM,25790,500,42070,15
25/3/2015,10:46:26 AM,25790,500,42820,15
25/3/2015,10:46:26 AM,25780,500,43060,15
25/3/2015,10:46:27 AM,25770,500,43160,15
25/3/2015,10:46:27 AM,25770,500,43720,15
25/3/2015,10:46:28 AM,25720,500,45230,14
25/3/2015,10:46:28 AM,25720,400,47270,13
25/3/2015,10:46:29 AM,25720,300,48900,11
25/3/2015,10:46:29 AM,25650,300,50130,10
25/3/2015,10:46:30 AM,25650,300,49860,9
25/3/2015,10:46:30 AM,25650,400,48230,11
25/3/2015,10:46:31 AM,25650,500,46350,12
25/3/2015,10:46:31 AM,25650,500,44180,14
25/3/2015,10:46:32 AM,25650,500,42820,14
25/3/2015,10:46:32 AM,25650,500,42320,14
